ZIP Code,Cov A Amount Weighted Avg,Cov C Amount Weighted Avg,Avg Fire Risk Score,Number of Negligible Fire Risk Exposure,Number of Low Fire Risk Exposure,Number of Moderate Fire Risk Exposure,Number of High Fire Risk Exposure,Number of Very High Fire Risk Exposure,Earned Premium 2020,Earned Exposure 2020,Non-CAT Cov A Fire - Incurred Losses,Non-CAT Cov A Fire - Number of Claims,Non-CAT Cov A Smoke - Incurred Losses,Non-CAT Cov A Smoke - Number of Claims,Non-CAT Cov C Fire - Incurred Losses,Non-CAT Cov C Fire - Number of Claims,Non-CAT Cov C Smoke - Incurred Losses,Non-CAT Cov C Smoke - Number of Claims,CAT Cov A Fire - Incurred Losses,CAT Cov A Fire - Number of Claims,CAT Cov A Smoke - Incurred Losses,CAT Cov A Smoke - Number of Claims,CAT Cov C Fire - Incurred Losses,CAT Cov C Fire - Number of Claims,CAT Cov C Smoke - Incurred Losses,CAT Cov C Smoke - Number of Claims,Earned Premium 2021,Earned Exposure 2021
92117,382791.06,267410.27,0.83,2134,2768,545,302,1,5773006,5750,53444,1,0,0,0,0,0,0,8720,1,0,0,75,1,0,0,6257755,5693
92118,1023634.25,641034.46,0.59,524,626,41,0,0,2251890,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2488940,1194
92119,415401.28,286158.11,0.79,1299,1121,279,197,10,3196956,2905,52623,2,0,0,45575,1,0,0,0,0,0,0,0,0,0,0,3551219,2911
92120,456658.98,317361.94,1.1,1027,1658,588,397,6,4125920,3676,445190,2,0,0,69155,1,0,0,0,0,0,0,0,0,0,0,4647995,3660
92121,584626.03,397083.35,1.73,15,134,247,41,1,679875,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782080,443
92122,490311.6,337715.06,1.02,622,1154,300,183,0,2822168,2259,449714,1,0,0,283501,1,0,0,0,0,0,0,0,0,0,0,3109220,2274
92123,371796.24,258714.55,0.76,931,992,263,58,1,2026467,2246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2186493,2204
92124,481204.66,330122.6,1.21,499,1006,599,185,7,2963404,2296,155019,1,0,0,102925,1,0,0,0,0,0,0,0,0,0,0,3328082,2321
92126,378671.76,252338.44,0.66,3563,2021,603,352,8,6480005,6546,815942,5,0,0,190335,4,0,0,0,0,0,0,0,0,0,0,7005139,6439
92127,862422.36,555482.15,0.83,2937,1890,982,272,113,10515310,6194,111093,2,10491,1,5765,2,1392,1,0,0,0,0,0,0,0,0,12257405,6231
92128,528034.19,347214.34,0.88,2174,1683,950,280,13,6639320,5101,91541,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7409992,5133
92129,523505.41,348049.38,1.11,2200,2175,1640,616,23,9120294,6654,848111,4,0,0,368064,4,0,0,0,0,0,0,0,0,0,0,9961184,6591
92130,939267.24,582647.13,0.93,2712,2070,1377,307,96,12705291,6563,12710,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14336166,6502
92131,700889.14,460634.06,1.45,857,1650,1118,724,98,7649787,4447,20426,3,0,0,595,1,0,0,0,0,0,0,0,0,0,0,9077515,4499
92132,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92133,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92134,358255.81,179127.91,1.0,0,1,0,0,0,1069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1309,1
92135,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92136,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92138,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92139,335633.69,227981.31,0.37,2004,724,151,12,0,2528485,2891,182680,1,19527,2,81583,1,0,0,0,0,0,0,0,0,0,0,2718160,2829
92140,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92143,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92145,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92147,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92150,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92154,387995.66,256584.55,0.61,3118,2192,596,95,3,5960401,6005,779266,5,0,0,698957,4,0,0,0,0,0,0,0,0,0,0,6455521,5951
92155,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92161,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92170,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92172,339884.66,200318.81,0.0,2,0,0,0,0,1398,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016,1
92173,329496.93,221409.01,0.39,706,418,14,1,0,965584,1139,217000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036643,1100
92178,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92182,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92192,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92201,367679.85,232312.72,0.44,3298,2597,9,3,0,5703713,5908,641390,5,0,0,78444,2,0,0,0,0,0,0,0,0,0,0,6258849,6012
92203,486537.09,305114.33,0.39,3285,1961,66,0,0,5832503,5313,1701,1,0,0,1511,1,0,0,0,0,0,0,0,0,0,0,6517596,5440
92210,1567911.61,845482.76,0.73,567,692,174,3,0,4193198,1436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4676639,1490
92211,479543.86,304385.31,0.49,2486,2305,33,2,0,5575894,4826,268482,3,0,0,75302,3,0,0,0,0,0,0,0,0,0,0,6221205,4948
92220,325192.35,216566.98,0.7,1710,1684,262,126,19,3655744,3801,365635,6,24696,4,346289,3,6616,1,25869,3,6783,1,7947,3,0,0,4222492,4035
92222,188858.0,94429.0,0.0,1,0,0,0,0,1910,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071,1
92223,435845.18,268409.44,0.8,4124,3274,818,257,354,8487828,8828,577395,17,196696,15,278263,15,14123,7,56543,4,114350,14,6190,2,0,0,9552044,8951
92225,265202.37,186117.33,0.67,494,993,4,0,0,1235522,1491,65504,2,0,0,10721,1,0,0,0,0,0,0,0,0,0,0,1376012,1520
92226,295000.0,147500.0,1.0,0,0,0,0,0,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472,1
92227,280002.44,194645.45,0.52,871,926,1,0,0,1545813,1798,53999,3,0,0,34143,1,0,0,0,0,0,0,0,0,0,0,1755832,1879
92230,248088.94,157832.29,1.02,25,141,21,2,1,161895,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175286,185
92231,292870.71,188223.32,0.31,1757,781,0,0,0,2459857,2538,233020,1,0,0,66678,1,0,0,0,0,0,0,0,0,0,0,2630627,2528
92233,238081.24,165994.22,0.52,108,119,0,0,0,178184,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205881,234
92234,368820.36,230911.17,0.38,3302,2004,8,3,0,5735017,5316,168301,3,10648,1,43776,2,9484,1,0,0,4289,1,0,0,0,0,6335118,5486
92235,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92236,312937.18,194993.24,0.31,2081,929,0,0,0,2666419,3010,393794,3,0,0,148549,3,0,0,0,0,0,0,0,0,0,0,2942874,3077
92239,259642.18,185032.7,1.07,2,17,4,0,0,18916,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19560,22
92240,319193.56,197168.11,0.31,2659,1106,31,2,0,3475034,3799,54783,8,80026,8,5436,4,1088,2,48569,2,6559,2,8700,1,0,0,3785612,3791
92241,321670.83,204073.23,0.37,300,162,5,0,0,495849,466,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552801,479
92242,307979.92,210540.31,0.9,26,138,10,0,0,193705,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212694,174
92243,322715.39,210990.22,0.32,1975,945,1,0,0,2944561,2921,27826,4,0,0,993,1,0,0,0,0,0,0,0,0,0,0,3283114,3011
92249,327380.95,205543.79,0.34,354,181,0,0,0,492939,535,51062,1,0,0,13112,1,0,0,0,0,0,0,0,0,0,0,538004,541
92250,265373.0,178601.43,0.37,289,167,0,0,0,426208,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477915,472
92251,345680.79,217382.69,0.35,1507,806,1,0,0,2078728,2313,182507,2,28574,1,95262,1,71372,1,0,0,0,0,0,0,0,0,2394846,2513
92252,258163.08,175746.71,1.21,61,1119,368,7,0,1357704,1554,49829,1,0,0,16702,1,0,0,0,0,0,0,0,0,0,0,1570759,1613
92253,762898.0,455948.35,0.54,3622,3379,268,2,0,11875961,7270,761551,6,12500,1,229157,6,0,0,0,0,0,0,0,0,0,0,13480257,7552
92254,235794.66,157542.39,0.39,294,188,0,0,0,415699,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460084,477
92255,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92256,259543.88,167939.19,1.39,17,418,261,14,1,698788,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788319,722
92257,193426.01,134158.06,0.44,32,22,1,0,0,42685,55,741448,3,0,0,254127,3,0,0,0,0,0,0,0,0,0,0,44703,54
92258,269283.97,162810.97,0.45,15,8,2,0,0,22901,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23777,22
92259,185675.69,132091.41,0.89,5,38,0,0,0,30172,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34622,44
92260,890450.18,456338.35,0.59,1645,1328,276,10,0,5727866,3260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6395569,3348
92261,220000.0,110000.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92262,555298.38,341191.97,0.52,2057,1783,122,2,3,5647314,3967,0,0,0,0,135,1,0,0,0,0,0,0,0,0,0,0,6532191,4121
92263,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92264,716776.11,437421.54,0.62,1038,1195,114,8,1,4198890,2356,2086021,3,0,0,251383,2,0,0,0,0,0,0,0,0,0,0,4711425,2394
92266,265794.06,168903.52,0.56,14,14,1,0,0,32838,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35300,29
92267,120000.0,92500.0,1.0,0,1,0,0,0,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,1
92268,337283.89,222250.88,1.63,6,70,44,25,1,237582,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279280,152
92270,972284.68,564335.59,0.59,1732,1678,186,26,1,7420673,3623,202716,1,0,0,8945,1,0,0,0,0,0,0,0,0,0,0,8407688,3855
92273,224215.96,143810.8,0.33,41,21,0,0,0,53196,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59363,66
92274,355876.56,227528.26,0.4,544,349,3,1,0,900382,896,19753,2,0,0,7421,1,0,0,3991,1,0,0,0,0,0,0,1008307,892
92275,291605.04,190582.48,0.16,54,10,0,0,0,75726,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72513,55
92276,335479.39,210504.5,0.32,393,182,2,0,0,541304,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581054,568
92277,247918.78,168463.71,0.73,604,1321,69,1,0,1583975,1994,223633,3,0,0,132797,2,0,0,0,0,0,0,0,0,0,0,1867612,2160
92278,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92280,284096.49,168309.14,0.23,3,1,0,0,0,4106,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2547,3
92281,223960.52,160001.73,0.61,47,74,0,0,0,91288,121,26564,2,0,0,0,0,10176,1,0,0,0,0,0,0,0,0,107648,126
92282,279418.92,177196.01,1.28,21,91,43,0,8,181874,162,0,0,0,0,53806,1,0,0,0,0,0,0,0,0,0,0,201364,166
92283,237516.97,164685.51,0.64,13,19,1,0,0,34124,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39264,36
92284,300718.07,203523.53,1.0,494,3140,427,32,1,3692505,4094,183714,3,4340,2,0,0,0,0,0,0,0,0,0,0,0,0,4182776,4221
92285,195401.55,128399.79,1.05,19,364,37,1,0,392305,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484681,479
92301,327130.21,192650.0,0.47,1928,1371,28,57,0,2943579,3384,154931,4,3380,1,66644,2,0,0,10381,2,0,0,4000,1,0,0,3218097,3404
92304,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92305,300580.41,203471.66,3.15,1,1,0,174,38,223193,214,1431,1,23097,2,709,1,6706,2,66372,4,0,0,4170,4,0,0,225749,202
92307,393452.0,262249.04,0.99,343,4620,272,4,0,5724330,5240,348309,8,0,0,182112,6,0,0,258507,2,26500,1,223,1,0,0,6276269,5228
92308,364625.7,237808.55,0.96,972,4302,543,19,60,5774377,5896,103523,7,0,0,102162,6,0,0,0,0,33305,3,0,0,154,1,6364400,5930
92309,244570.06,164626.41,0.4,6,4,0,0,0,10115,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11761,11
92310,455000.0,341250.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92311,258592.57,179809.23,0.52,1338,1432,11,0,0,2358453,2781,241308,3,0,0,17006,1,0,0,0,0,0,0,0,0,0,0,2557816,2764
92313,357498.03,243346.44,0.5,822,439,85,25,0,1394545,1371,340260,1,0,0,193993,1,0,0,0,0,0,0,0,0,0,0,1547677,1393
92314,318378.47,199130.37,2.29,34,774,1395,1702,169,4249212,4075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4508469,3975
92315,415986.88,261161.81,2.56,56,350,1051,1843,321,4176111,3620,31680,1,0,0,273,1,0,0,0,0,0,0,0,0,0,0,4496965,3518
92316,281392.67,185625.66,0.3,1834,685,21,6,2,2423065,2547,225031,4,0,0,24983,3,0,0,20459,3,15663,2,11772,2,0,0,2562366,2478
92317,405270.46,242286.36,3.14,4,3,3,62,37,174809,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168893,104
92318,257281.38,156630.8,0.59,5,7,0,0,0,9219,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11867,14
92320,412957.89,258874.89,1.29,273,692,239,73,97,1267060,1374,3354,1,0,0,11,1,0,0,0,0,0,0,0,0,0,0,1578577,1597
92321,324689.49,226938.32,3.15,2,0,6,140,40,279002,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246623,171
92322,296851.62,192701.98,3.16,3,0,3,205,56,324915,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282372,268
92323,315000.0,126000.0,1.0,0,1,0,0,0,1278,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430,1
92324,310977.38,206446.87,0.56,2832,1395,436,120,9,4657408,4792,184026,3,142,1,69738,3,0,0,38410,2,65483,9,3587,1,8949,3,4976829,4715
92325,308750.85,192831.44,2.98,8,4,77,2039,63,2342685,2191,455894,2,0,0,40015,2,0,0,0,0,0,0,0,0,0,0,2152250,2104
92326,394850.39,298106.3,3.0,0,0,0,3,0,6368,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4110,2
92327,192339.74,125443.16,0.6,7,11,0,0,0,15431,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18574,21
92328,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92329,346106.64,175484.36,1.27,0,3,1,0,0,4098,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5405,4
92332,540674.81,104138.73,0.67,1,2,0,0,0,2795,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2419,2
92333,374292.86,242750.89,2.88,7,7,45,327,31,563320,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561430,392
92334,436174.04,328099.21,0.39,2,1,0,0,0,4611,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4009,2
92335,273378.41,185366.19,0.26,4836,1684,3,0,0,5116552,6523,1223537,10,96558,9,783230,10,9963,2,448674,14,288041,34,157125,8,41366,8,5439875,6442
92336,425311.29,274465.16,0.36,9329,3609,211,42,167,13890054,13358,455425,9,69058,8,297190,7,13699,2,267146,2,110598,13,123383,1,16952,6,15353869,13566
92337,343958.56,220920.17,0.47,2737,1160,301,54,17,4314641,4269,16498,2,8779,1,5475,1,0,0,10871,1,3565,1,0,0,0,0,4656129,4177
92338,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92339,314858.49,205904.72,3.05,0,2,2,293,22,349871,319,62154,3,49799,6,24393,6,30896,4,69626,5,50333,7,11825,6,12151,7,327395,297
92340,144400.0,110800.0,2.0,0,0,1,0,0,1043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226,1
92341,273915.48,178477.27,2.96,3,0,24,377,18,491899,422,485040,1,0,0,186778,1,0,0,0,0,0,0,0,0,0,0,470040,403
92342,385211.2,249968.92,0.38,739,427,9,0,1,1291210,1175,0,0,0,0,0,0,0,0,0,0,44677,2,0,0,9379,2,1419695,1180
92344,454819.54,287856.55,0.87,878,1910,217,121,6,3770680,3133,13404,1,15771,2,20121,1,87,1,0,0,39947,4,0,0,0,0,4061716,3082
92345,324246.13,212210.75,1.0,536,9045,513,30,1,9190086,10124,2048319,13,6967,1,991433,13,0,0,8423,1,8857,1,0,0,0,0,10021109,10075
92346,386809.51,255862.87,0.72,2808,2766,622,147,28,7475847,6371,457580,8,102559,9,117835,4,15798,6,9257,1,65193,8,0,0,0,0,8090367,6282
92347,234675.63,168110.21,0.91,5,30,2,0,0,31098,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36386,39
92349,198937.64,139256.47,0.0,1,0,0,0,0,768,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,1
92350,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92352,560083.27,348479.49,3.07,56,77,222,2744,806,6384758,3904,15160,1,0,0,735,1,0,0,0,0,0,0,0,0,0,0,6120594,3638
92354,433679.13,283767.25,0.52,916,534,103,25,3,1842543,1582,9014,2,3717,1,7186,1,0,0,20485,1,0,0,20466,1,0,0,2073217,1667
92356,271849.13,180286.0,0.95,140,387,88,5,3,572407,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662769,659
92357,286128.0,143064.0,1.0,0,1,0,0,0,360,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,1
92358,319488.52,218535.49,2.73,2,17,9,70,17,152848,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174018,120
92359,351759.74,233355.96,1.01,274,493,97,84,5,995322,952,0,0,7948,2,0,0,0,0,0,0,0,0,0,0,0,0,1092164,971
92363,299220.65,199541.19,0.39,290,165,7,0,0,494824,462,2900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542101,469
92364,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92365,274688.07,186221.33,0.7,39,89,0,0,0,138259,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163506,138
92366,809750.0,566826.0,1.0,0,1,0,0,0,447,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92368,303523.39,205918.77,0.98,5,32,3,1,0,41869,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48338,43
92371,373472.36,238602.39,1.16,177,1311,168,85,43,2365457,1783,0,0,10079,1,5347,1,0,0,0,0,18384,1,0,0,4089,1,2661342,1832
92372,362804.41,236986.29,1.38,62,425,282,30,8,994782,808,95538,1,0,0,28323,1,0,0,0,0,0,0,0,0,0,0,1189661,876
92373,540675.28,356477.43,1.06,1155,1757,517,392,23,5574952,3844,23951,2,34782,2,10393,2,8009,2,0,0,0,0,0,0,0,0,6055424,3796
92374,388835.6,256625.14,0.4,2796,1388,122,35,4,4296220,4345,0,0,31622,2,0,0,21131,2,257,1,44771,7,0,0,5500,1,4673412,4362
92375,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92376,292115.06,196313.72,0.25,5233,1691,22,1,0,6092652,6947,641528,8,55646,7,391677,8,19264,5,195086,9,87583,14,42540,5,0,0,6470995,6865
92377,357840.91,235733.79,0.41,1561,943,43,4,0,2989346,2550,406346,9,53192,4,307562,6,11713,3,31931,2,63789,7,3152,2,0,0,3160799,2471
92378,292274.23,187513.4,3.13,0,3,8,59,27,114981,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116995,94
92381,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92382,312700.79,195116.38,3.09,11,28,147,1083,378,1759103,1647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1888151,1652
92384,325300.0,245850.0,1.0,0,4,0,0,0,3530,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3882,4
92385,537040.69,371604.05,3.04,0,0,5,58,8,127670,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120695,68
92386,219965.05,145143.04,2.67,5,17,420,803,42,1090926,1288,0,0,0,0,0,0,0,0,0,0,8669,1,0,0,0,0,1187707,1282
92389,330663.78,234764.68,1.0,1,4,1,0,0,6121,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7026,6
92391,322871.51,206227.26,3.13,2,1,26,365,101,623723,495,388144,1,0,0,279000,1,0,0,0,0,0,0,0,0,0,0,587849,492
92392,374162.23,237066.76,0.48,3543,2935,83,11,3,6519915,6574,242415,7,158366,4,118447,4,137847,2,23506,2,94962,7,0,0,7549,1,7136560,6639
92393,402298.28,243191.8,0.6,1,2,0,0,0,3755,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3717,3
92394,361465.33,224854.6,0.49,2037,1560,97,18,0,3282366,3712,524155,4,0,0,280360,3,0,0,0,0,13254,2,0,0,0,0,3639728,3748
