ZIP Code,Cov C Amount Weighted Avg,Avg Fire Risk Score,Number of Negligible Fire Risk Exposure,Number of Low Fire Risk Exposure,Number of Moderate Fire Risk Exposure,Number of High Fire Risk Exposure,Number of Very High Fire Risk Exposure,Non-CAT Cov A Smoke - Incurred Losses,Non-CAT Cov A Smoke - Number of Claims,Non-CAT Cov C Fire - Incurred Losses,Non-CAT Cov C Fire - Number of Claims,Non-CAT Cov C Smoke - Incurred Losses,Non-CAT Cov C Smoke - Number of Claims,CAT Cov A Smoke - Incurred Losses,Total CAT Claims,Earned Premium 2021,Earned Exposure 2021,Avg Premium,Avg CAT Loss,Avg Non-CAT Loss,Avg CAT Claims,Avg Non-CAT Claims,Avg Premium 2021,Claim Frequency,Average Claim Severity
91775,335232.48,0.36,1902,1057,13,0,0,0,0,192117,1,0,0,48606,4,2897749,2975,897.3845895020188,16.35464333781965,64.64232839838493,0.00033647375504710633,0.0013458950201884253,974.0332773109244,0.0016823687752355316,48144.6
91776,256727.89,0.33,1398,697,2,0,0,0,0,0,0,0,0,13830,1,1695679,2114,738.7730090605627,6.595135908440629,0.0,0.0,0.0004768717215069146,802.1187322611164,0.0004768717215069146,13830.0
91780,294454.15,0.34,2406,1238,11,0,0,2970,1,0,0,0,0,84223,12,3245757,3619,818.7398084815321,23.043228454172368,0.8125854993160054,0.00027359781121751026,0.003283173734610123,896.8657087593258,0.0035567715458276333,6707.153846153846
91784,395627.15,0.45,2818,1640,61,91,11,0,0,316769,2,0,0,5912,1,6799417,4669,1328.2280891581909,1.2793767582774291,68.54988097814326,0.00043280675178532783,0.00021640337589266391,1456.2897836795887,0.0006492101276779918,107560.33333333333
91786,255117.36,0.32,2757,1276,15,0,0,0,0,86720,1,0,0,68991,7,4063339,4071,922.137104743083,17.04323122529644,21.42292490118577,0.00024703557312252963,0.0017292490118577075,998.1181527880128,0.001976284584980237,19463.875
91789,359407.59,0.76,2343,2197,525,271,5,0,0,115259,3,0,0,0,0,7586393,5128,1321.2924545965175,0.0,21.580041190788243,0.0005616925669350309,0.0,1479.4058112324492,0.0005616925669350309,38419.666666666664
91790,239726.0,0.34,3053,1516,14,0,0,87512,7,205439,3,3071,4,134462,19,4125937,4502,838.7196159720706,29.339297403447524,64.59131573205325,0.0030547676194632336,0.0041457560549858176,916.4675699689027,0.007200523674449051,13044.969696969696
91791,340693.74,0.96,1249,1469,496,283,10,31529,1,0,0,4291,1,238765,17,4524172,3452,1189.9754776161963,68.08240661534074,10.213857998289136,0.0005702879954376961,0.004847447961220416,1310.5944380069525,0.005417735956658112,14451.842105263158
91792,244684.11,0.42,1523,617,73,62,0,0,0,486,1,0,0,83421,8,2259354,2228,926.8993406593406,36.668571428571425,0.21362637362637363,0.00043956043956043956,0.0035164835164835165,1014.072710951526,0.003956043956043956,9323.0
91801,281144.94,0.37,1617,954,2,0,0,30808,1,48412,1,0,0,75637,6,2294861,2597,809.0380878352119,29.396424407306647,30.788962300816166,0.000777302759424796,0.002331908278274388,883.6584520600693,0.003109211037699184,19357.125
91803,256919.06,0.38,1458,892,0,0,0,0,0,12696,1,0,0,26314,6,1974588,2355,771.6418545299872,11.192683964270524,5.4002552105487025,0.0004253509145044662,0.002552105487026797,838.4662420382166,0.0029774564015312634,5572.857142857143
91901,389669.67,2.35,53,649,519,1363,177,0,0,105040,1,0,0,0,0,4885669,2686,1606.854038391887,0.0,38.044186888808404,0.0003621876131836291,0.0,1818.9385703648547,0.0003621876131836291,105040.0
91902,415114.81,1.08,731,801,510,199,2,0,0,53589,1,117,1,0,0,3773719,2256,1517.5675434685688,0.0,23.943825234061524,0.0008916629514043691,0.0,1672.7477836879432,0.0008916629514043691,26853.0
91906,222733.06,2.13,4,125,229,150,27,0,0,40897,1,0,0,0,0,697647,531,1176.177570093458,0.0,76.4429906542056,0.001869158878504673,0.0,1313.8361581920904,0.001869158878504673,40897.0
91910,296737.45,0.64,2645,1952,506,121,0,0,0,81959,2,0,0,0,0,6192237,5171,1092.9190275650842,0.0,15.688935681470138,0.00038284839203675346,0.0,1197.4931347901759,0.00038284839203675346,40979.5
91911,245136.23,0.36,3569,1661,137,7,0,0,0,106173,2,0,0,0,0,5304273,5261,925.7798660215855,0.0,19.756791961295125,0.0003721622627465575,0.0,1008.2252423493633,0.0003721622627465575,53086.5
91913,338575.96,0.39,2816,1149,153,57,1,0,0,52724,4,0,0,0,0,5379313,4266,1143.642327028968,0.0,12.622456308355279,0.0009576250897773521,0.0,1260.9735114861696,0.0009576250897773521,13181.0
91914,502558.69,0.57,1178,725,204,25,3,0,0,96378,1,0,0,0,0,3848725,2073,1651.9742388758782,0.0,45.14192037470726,0.000468384074941452,0.0,1856.59671972986,0.000468384074941452,96378.0
91917,263994.72,2.45,0,11,11,37,0,0,0,190594,1,0,0,0,0,96623,57,1585.4406779661017,0.0,3230.406779661017,0.01694915254237288,0.0,1695.140350877193,0.01694915254237288,190594.0
91935,416767.37,2.32,64,234,532,686,93,0,0,714264,9,0,0,14066,1,3045511,1553,1752.3809819763828,8.742075823492852,443.91796146674955,0.005593536357986327,0.0006215040397762585,1961.0502253702512,0.006215040397762586,72833.0
91941,371793.85,0.87,1641,1543,886,107,3,0,0,40591,3,0,0,0,0,6036233,4157,1318.5841110313472,0.0,9.713089255802824,0.0007178750897343862,0.0,1452.0647101274958,0.0007178750897343862,13530.333333333334
91942,255231.77,0.41,1706,1078,35,2,0,0,0,39143,1,0,0,0,0,2751650,2818,893.3768167316555,0.0,13.87557603686636,0.0003544842254519674,0.0,976.4549325762953,0.0003544842254519674,39143.0
91945,236715.13,0.28,1874,663,23,0,0,0,0,13047,1,0,0,0,0,2369198,2519,863.3619679812573,0.0,5.09449433814916,0.0003904724716907458,0.0,940.5311631599841,0.0003904724716907458,13047.0
91977,257346.02,0.54,3332,1663,358,195,3,0,0,1067,1,0,0,0,0,6141992,5567,1010.8704971181556,0.0,0.19218299711815562,0.00018011527377521613,0.0,1103.2857912699837,0.00018011527377521613,1067.0
92008,388357.69,0.64,1342,851,226,90,8,12645,1,5789,1,0,0,0,0,3749519,2551,1334.6548848292296,0.0,7.320889594916601,0.0007942811755361397,0.0,1469.8232065856528,0.0007942811755361397,9217.0
92009,502388.22,1.04,1738,2035,1223,349,18,0,0,69013,2,0,0,0,0,10634531,5354,1758.6698992913093,0.0,12.870757180156659,0.0003729951510630362,0.0,1986.2777362719462,0.0003729951510630362,34506.5
92010,371298.03,0.88,772,738,378,78,3,0,0,12066,1,0,0,0,0,2665530,1971,1198.4126016260163,0.0,6.1310975609756095,0.0005081300813008131,0.0,1352.3744292237443,0.0005081300813008131,12066.0
92019,359652.21,1.11,1693,1619,823,635,43,56562,4,511548,10,0,0,0,0,7653353,4745,1449.6680515164105,0.0,118.01204819277109,0.0029081844619858743,0.0,1612.9300316122235,0.0029081844619858743,40579.28571428572
92020,315507.6,0.73,1804,1473,513,120,2,0,0,1027591,4,0,0,0,0,5083431,3850,1210.5704063378482,0.0,262.6095067722975,0.0010222335803731152,0.0,1320.3716883116883,0.0010222335803731152,256897.75
92021,312522.64,1.11,1757,1458,1045,589,24,0,0,237968,4,0,0,0,0,6623895,4845,1222.8284776364383,0.0,48.82396389002872,0.0008206811653672548,0.0,1367.1609907120744,0.0008206811653672548,59492.0
92025,356546.08,1.02,1144,1048,392,395,9,0,0,166509,1,0,0,0,0,4821284,3053,1438.7063545150502,0.0,55.6886287625418,0.00033444816053511704,0.0,1579.1955453652145,0.00033444816053511704,166509.0
92026,319714.52,1.2,1748,1955,1119,703,110,0,0,31281,4,0,0,0,0,7993565,5681,1286.6723464678737,0.0,5.552183173588924,0.0007099751508697196,0.0,1407.0700580883647,0.0007099751508697196,7820.25
92027,297086.62,0.86,2254,1691,810,333,19,0,0,17309,1,0,0,0,0,6603489,5151,1166.1274720971217,0.0,3.3892696299197183,0.00019580967299784609,0.0,1281.9819452533488,0.00019580967299784609,17309.0
92028,391366.67,1.37,1429,2558,1872,756,181,0,0,964883,2,0,0,0,0,11176528,7055,1440.9458505002942,0.0,141.97807533843437,0.0002942907592701589,0.0,1584.199574769667,0.0002942907592701589,482441.5
92029,410979.7,1.57,435,1033,706,566,69,0,0,852300,2,0,0,0,0,4875096,2870,1568.5421858312566,0.0,303.4175863296547,0.000711997152011392,0.0,1698.6397212543554,0.000711997152011392,426150.0
92036,287229.18,2.57,16,92,183,481,58,0,0,16387,1,0,0,0,0,1435577,832,1673.387951807229,0.0,19.743373493975902,0.0012048192771084338,0.0,1725.453125,0.0012048192771084338,16387.0
92037,773597.81,1.06,1227,1848,805,327,12,3828,1,202303,2,17874,1,0,0,12313388,4337,2570.430568720379,0.0,53.08175355450237,0.0009478672985781991,0.0,2839.1487203135807,0.0009478672985781991,56001.25
92040,289232.34,1.31,1097,1674,1162,640,32,4225,1,553271,5,0,0,0,0,6437251,4608,1249.6397394136807,0.0,121.06319218241042,0.0013029315960912053,0.0,1396.972873263889,0.0013029315960912053,92916.0
92054,303635.01,0.57,1556,854,303,39,1,0,0,10789,2,0,0,0,0,3309827,2726,1107.7914244186047,0.0,3.920421511627907,0.0007267441860465116,0.0,1214.1698459280997,0.0007267441860465116,5394.5
92056,278580.52,0.54,3484,1985,495,109,2,0,0,241532,4,0,0,0,0,7165022,6081,1084.3761316872428,0.0,39.75835390946502,0.0006584362139917696,0.0,1178.2637724058543,0.0006584362139917696,60383.0
92057,294361.88,0.43,3629,1664,296,42,5,8193,2,294635,2,0,0,0,0,7001507,5640,1134.442334989354,0.0,53.73101490418737,0.0007097232079489,0.0,1241.4019503546099,0.0007097232079489,75707.0
92058,254048.55,0.63,666,470,131,29,0,0,0,152054,1,0,0,0,0,1413788,1332,981.2231660231661,0.0,117.41621621621621,0.0007722007722007722,0.0,1061.4024024024025,0.0007722007722007722,152054.0
92064,446422.76,1.11,1953,2334,1250,625,56,0,0,153982,3,0,0,0,0,11608041,6240,1665.9038430615856,0.0,24.759929249075412,0.000482392667631452,0.0,1860.2629807692308,0.000482392667631452,51327.333333333336
92065,343700.61,1.53,423,2731,1211,876,92,0,0,150127,2,0,0,0,0,8231737,5234,1389.8483030189386,0.0,28.15057191074442,0.0003750234389649353,0.0,1572.743026366068,0.0003750234389649353,75063.5
92067,1637443.52,1.62,201,610,685,226,58,0,0,117096,1,0,0,0,0,11344661,1947,5431.564606741573,0.0,65.78426966292135,0.0005617977528089888,0.0,5826.739085772984,0.0005617977528089888,117096.0
92069,311830.6,0.81,1943,1455,545,245,31,0,0,1547,1,0,0,0,0,5554166,4190,1200.1119013750592,0.0,0.3667614983404457,0.0002370791844476055,0.0,1325.5766109785202,0.0002370791844476055,1547.0
92071,264341.19,0.73,2760,2121,565,171,108,0,0,722158,4,0,0,0,0,6503910,5771,1008.3215720524017,0.0,126.14113537117903,0.0006986899563318777,0.0,1126.9987870386415,0.0006986899563318777,180539.5
92075,528793.52,0.76,502,470,170,23,0,0,0,217887,2,0,0,0,0,2253671,1177,1722.7656652360515,0.0,187.0274678111588,0.0017167381974248926,0.0,1914.7587085811385,0.0017167381974248926,108943.5
92078,390338.6,1.16,1612,1618,1166,526,66,5300,1,212662,3,0,0,0,0,8491875,5102,1476.5041106877882,0.0,43.70603569280129,0.0008020854220974534,0.0,1664.420815366523,0.0008020854220974534,54490.5
92081,322130.82,0.67,1302,961,303,62,4,0,0,30175,2,0,0,0,0,3447048,2706,1172.4473584188522,0.0,11.469023185100722,0.0007601672367920942,0.0,1273.8536585365853,0.0007601672367920942,15087.5
92082,388262.0,1.79,145,1164,1055,511,152,0,0,484918,6,0,0,0,0,5589238,3069,1674.7700693756194,0.0,160.19755533531549,0.0019821605550049554,0.0,1821.1919191919192,0.0019821605550049554,80819.66666666667
92083,243691.84,0.42,1737,641,149,49,0,0,0,205727,4,0,0,0,0,2691543,2559,972.6594174757281,0.0,79.89398058252428,0.0015533980582524273,0.0,1051.7948417350528,0.0015533980582524273,51431.75
92084,343698.29,1.09,1783,1591,867,580,61,0,0,108275,3,0,0,0,0,6846837,4888,1304.752150757886,0.0,22.178410487505122,0.0006145022531749283,0.0,1400.7440671031097,0.0006145022531749283,36091.666666666664
92102,225391.47,0.37,1348,597,42,17,0,0,0,6800,1,0,0,0,0,1804099,1988,827.2491263105342,0.0,3.3949076385421866,0.0004992511233150275,0.0,907.4944668008048,0.0004992511233150275,6800.0
92103,468477.29,0.95,613,1093,228,141,0,0,0,19702,1,0,0,0,0,3185145,2116,1368.4732530120482,0.0,9.494939759036145,0.00048192771084337347,0.0,1505.2670132325143,0.00048192771084337347,19702.0
92105,193641.47,0.33,2452,887,76,30,0,3745,1,144657,2,0,0,0,0,2658098,3439,710.767198838897,0.0,43.077503628447026,0.0008708272859216256,0.0,772.9275952311718,0.0008708272859216256,49467.333333333336
92106,476673.95,0.49,1120,871,62,1,0,0,0,4059,2,0,0,0,0,3209411,2049,1448.192214111922,0.0,1.9751824817518249,0.0009732360097323601,0.0,1566.3304050756467,0.0009732360097323601,2029.5
92107,361134.34,0.45,1176,914,15,0,0,0,0,113754,1,0,0,0,0,2472293,2154,1058.8318289786223,0.0,54.03990498812352,0.00047505938242280285,0.0,1147.768337975859,0.00047505938242280285,113754.0
92113,186519.1,0.23,1520,454,2,0,0,0,0,4317,1,0,0,0,0,1526497,1942,723.202832574608,0.0,2.1836115326251897,0.0005058168942842691,0.0,786.0437693099897,0.0005058168942842691,4317.0
92114,216008.31,0.45,4388,1664,533,85,3,0,0,168962,6,0,0,0,0,6298880,6476,879.526449872621,0.0,25.320245766521804,0.0008991458114790948,0.0,972.649783817171,0.0008991458114790948,28160.333333333332
92115,259031.88,0.63,1906,1328,191,189,3,0,0,1052,1,0,0,0,0,3564043,3585,910.4597732927841,0.0,0.29084876969864526,0.0002764722145424385,0.0,994.1542538354254,0.0002764722145424385,1052.0
92116,305180.15,0.97,789,1225,232,233,1,0,0,44000,1,0,0,0,0,2782200,2480,1021.1,0.0,17.741935483870968,0.0004032258064516129,0.0,1121.8548387096773,0.0004032258064516129,44000.0
92119,286158.11,0.79,1299,1121,279,197,10,0,0,45575,1,0,0,0,0,3551219,2911,1100.501204819277,0.0,15.688468158347677,0.00034423407917383823,0.0,1219.9309515630368,0.00034423407917383823,45575.0
92120,317361.94,1.1,1027,1658,588,397,6,0,0,69155,1,0,0,0,0,4647995,3660,1122.3939064200217,0.0,18.812568008705114,0.0002720348204570185,0.0,1269.9439890710382,0.0002720348204570185,69155.0
92122,337715.06,1.02,622,1154,300,183,0,0,0,283501,1,0,0,0,0,3109220,2274,1249.2996901283755,0.0,125.49845064187694,0.0004426737494466578,0.0,1367.2911169744943,0.0004426737494466578,283501.0
92124,330122.6,1.21,499,1006,599,185,7,0,0,102925,1,0,0,0,0,3328082,2321,1290.6811846689895,0.0,44.82796167247387,0.00043554006968641115,0.0,1433.900043084877,0.00043554006968641115,102925.0
92126,252338.44,0.66,3563,2021,603,352,8,0,0,190335,4,0,0,0,0,7005139,6439,989.9182706996639,0.0,29.07653528872594,0.0006110601894286587,0.0,1087.923435316043,0.0006110601894286587,47583.75
92127,555482.15,0.83,2937,1890,982,272,113,10491,1,5765,2,1392,1,0,0,12257405,6231,1697.6606393283823,0.0,2.8492089118501776,0.0006457862447529867,0.0,1967.1649815438934,0.0006457862447529867,4412.0
92129,348049.38,1.11,2200,2175,1640,616,23,0,0,368064,4,0,0,0,0,9961184,6591,1370.648331830478,0.0,55.314697926059516,0.0006011421701232341,0.0,1511.3312092247004,0.0006011421701232341,92016.0
92131,460634.06,1.45,857,1650,1118,724,98,0,0,595,1,0,0,0,0,9077515,4499,1720.2129525522823,0.0,0.1337980661119856,0.00022487069934787497,0.0,2017.6739275394532,0.00022487069934787497,595.0
92139,227981.31,0.37,2004,724,151,12,0,19527,2,81583,1,0,0,0,0,2718160,2829,874.6056727775856,0.0,34.974057419578,0.0010377032168799724,0.0,960.820077765995,0.0010377032168799724,33703.333333333336
92154,256584.55,0.61,3118,2192,596,95,3,0,0,698957,4,0,0,0,0,6455521,5951,992.5730224812656,0.0,116.39583680266445,0.0006661115736885929,0.0,1084.7791967736514,0.0006661115736885929,174739.25
92201,232312.72,0.44,3298,2597,9,3,0,0,0,78444,2,0,0,0,0,6258849,6012,965.4219702098849,0.0,13.27758970886933,0.00033852403520649965,0.0,1041.059381237525,0.00033852403520649965,39222.0
92203,305114.33,0.39,3285,1961,66,0,0,0,0,1511,1,0,0,0,0,6517596,5440,1097.77959721438,0.0,0.2843967626576322,0.00018821757952192734,0.0,1198.0875,0.00018821757952192734,1511.0
92211,304385.31,0.49,2486,2305,33,2,0,0,0,75302,3,0,0,0,0,6221205,4948,1155.386241193535,0.0,15.603398259428097,0.0006216328222130128,0.0,1257.3170978173,0.0006216328222130128,25100.666666666668
92220,216566.98,0.7,1710,1684,262,126,19,24696,4,346289,3,6616,1,6783,1,4222492,4035,961.7847934754012,1.7845303867403315,99.34254143646409,0.002104709287029729,0.00026308866087871614,1046.4664188351921,0.0023677979479084454,42709.333333333336
92223,268409.44,0.8,4124,3274,818,257,354,196696,15,278263,15,14123,7,114350,14,9552044,8951,961.466696873584,12.953103760761215,55.40122338015406,0.004191209787041232,0.0015858631626642502,1067.1482515920009,0.005777072949705483,11832.0
92225,186117.33,0.67,494,993,4,0,0,0,0,10721,1,0,0,0,0,1376012,1520,828.6532528504359,0.0,7.190476190476191,0.0006706908115358819,0.0,905.271052631579,0.0006706908115358819,10721.0
92227,194645.45,0.52,871,926,1,0,0,0,0,34143,1,0,0,0,0,1755832,1879,859.7402669632926,0.0,18.989432703003338,0.0005561735261401557,0.0,934.45023948909,0.0005561735261401557,34143.0
92231,188223.32,0.31,1757,781,0,0,0,0,0,66678,1,0,0,0,0,2630627,2528,969.2107959022852,0.0,26.271867612293143,0.0003940110323089047,0.0,1040.5961234177216,0.0003940110323089047,66678.0
92234,230911.17,0.38,3302,2004,8,3,0,10648,1,43776,2,9484,1,4289,1,6335118,5486,1078.8218585402558,0.8068096313017307,12.021820917983446,0.0007524454477050414,0.00018811136192626034,1154.7790740065623,0.0009405568096313017,13639.4
92236,194993.24,0.31,2081,929,0,0,0,0,0,148549,3,0,0,0,0,2942874,3077,885.853488372093,0.0,49.35182724252492,0.0009966777408637873,0.0,956.4101397465064,0.0009966777408637873,49516.333333333336
92240,197168.11,0.31,2659,1106,31,2,0,80026,8,5436,4,1088,2,6559,2,3785612,3791,914.7233482495393,1.7265069755198736,22.782311134509083,0.0036851803106080546,0.0005264543300868649,998.5787391189659,0.0042116346406949196,5819.3125
92243,210990.22,0.32,1975,945,1,0,0,0,0,993,1,0,0,0,0,3283114,3011,1008.0660732625813,0.0,0.33995207120849025,0.00034234851078397807,0.0,1090.373297907672,0.00034234851078397807,993.0
92249,205543.79,0.34,354,181,0,0,0,0,0,13112,1,0,0,0,0,538004,541,921.381308411215,0.0,24.50841121495327,0.001869158878504673,0.0,994.4621072088725,0.001869158878504673,13112.0
92251,217382.69,0.35,1507,806,1,0,0,28574,1,95262,1,71372,1,0,0,2394846,2513,898.7150886294855,0.0,84.3960224816256,0.0012970168612191958,0.0,952.982888977318,0.0012970168612191958,65069.333333333336
92252,175746.71,1.21,61,1119,368,7,0,0,0,16702,1,0,0,0,0,1570759,1613,873.6833976833976,0.0,10.747747747747749,0.0006435006435006435,0.0,973.8121512709238,0.0006435006435006435,16702.0
92253,455948.35,0.54,3622,3379,268,2,0,12500,1,229157,6,0,0,0,0,13480257,7552,1633.5572214580468,0.0,33.240302613480054,0.0009628610729023383,0.0,1784.991657838983,0.0009628610729023383,34522.42857142857
92257,134158.06,0.44,32,22,1,0,0,0,0,254127,3,0,0,0,0,44703,54,776.0909090909091,0.0,4620.490909090909,0.05454545454545454,0.0,827.8333333333334,0.05454545454545454,84709.0
92262,341191.97,0.52,2057,1783,122,2,3,0,0,135,1,0,0,0,0,6532191,4121,1423.572977060751,0.0,0.03403075371817494,0.00025207965717166626,0.0,1585.0985197767532,0.00025207965717166626,135.0
92264,437421.54,0.62,1038,1195,114,8,1,0,0,251383,2,0,0,0,0,4711425,2394,1782.211375212224,0.0,106.6990662139219,0.0008488964346349745,0.0,1968.013784461153,0.0008488964346349745,125691.5
92270,564335.59,0.59,1732,1678,186,26,1,0,0,8945,1,0,0,0,0,8407688,3855,2048.212255037262,0.0,2.4689483853160366,0.0002760143527463428,0.0,2180.9826199740596,0.0002760143527463428,8945.0
92274,227528.26,0.4,544,349,3,1,0,0,0,7421,1,0,0,0,0,1008307,892,1004.890625,0.0,8.282366071428571,0.0011160714285714285,0.0,1130.3890134529147,0.0011160714285714285,7421.0
92277,168463.71,0.73,604,1321,69,1,0,0,0,132797,2,0,0,0,0,1867612,2160,794.3706118355066,0.0,66.59829488465397,0.0010030090270812437,0.0,864.6351851851852,0.0010030090270812437,66398.5
92281,160001.73,0.61,47,74,0,0,0,0,0,0,0,10176,1,0,0,107648,126,754.4462809917355,0.0,84.09917355371901,0.008264462809917356,0.0,854.3492063492064,0.008264462809917356,10176.0
92282,177196.01,1.28,21,91,43,0,8,0,0,53806,1,0,0,0,0,201364,166,1122.679012345679,0.0,332.1358024691358,0.006172839506172839,0.0,1213.0361445783133,0.006172839506172839,53806.0
92284,203523.53,1.0,494,3140,427,32,1,4340,2,0,0,0,0,0,0,4182776,4221,901.9308744504152,0.0,1.0600879335613091,0.0004885197850512946,0.0,990.9443259891021,0.0004885197850512946,2170.0
92301,192650.0,0.47,1928,1371,28,57,0,3380,1,66644,2,0,0,0,0,3218097,3404,869.8519503546099,0.0,20.692671394799053,0.0008865248226950354,0.0,945.3868977673326,0.0008865248226950354,23341.333333333332
92305,203471.66,3.15,1,1,0,174,38,23097,2,709,1,6706,2,0,0,225749,202,1042.9579439252336,0.0,142.57943925233644,0.02336448598130841,0.0,1117.569306930693,0.02336448598130841,6102.4
92307,262249.04,0.99,343,4620,272,4,0,0,0,182112,6,0,0,26500,1,6276269,5228,1092.429389312977,5.057251908396947,34.75419847328244,0.0011450381679389313,0.00019083969465648855,1200.5105202754398,0.0013358778625954199,29801.714285714286
92308,237808.55,0.96,972,4302,543,19,60,0,0,102162,6,0,0,33305,3,6364400,5930,979.371947082768,5.648744911804613,17.327340569877883,0.0010176390773405698,0.0005088195386702849,1073.2546374367623,0.0015264586160108548,15051.888888888889
92311,179809.23,0.52,1338,1432,11,0,0,0,0,17006,1,0,0,0,0,2557816,2764,848.0593311758361,0.0,6.115066522833513,0.0003595828838547285,0.0,925.4037626628075,0.0003595828838547285,17006.0
92313,243346.44,0.5,822,439,85,25,0,0,0,193993,1,0,0,0,0,1547677,1393,1017.1735959153903,0.0,141.49744711889133,0.0007293946024799417,0.0,1111.0387652548457,0.0007293946024799417,193993.0
92315,261161.81,2.56,56,350,1051,1843,321,0,0,273,1,0,0,0,0,4496965,3518,1153.6218232044198,0.0,0.07541436464088398,0.00027624309392265195,0.0,1278.273166571916,0.00027624309392265195,273.0
92316,185625.66,0.3,1834,685,21,6,2,0,0,24983,3,0,0,15663,2,2562366,2478,951.3407930899097,6.149587750294464,9.808794660384766,0.001177856301531213,0.0007852375343541421,1034.046004842615,0.0019630938358853552,8129.2
92320,258874.89,1.29,273,692,239,73,97,0,0,11,1,0,0,0,0,1578577,1597,922.1688500727802,0.0,0.008005822416302766,0.000727802037845706,0.0,988.4639949906074,0.000727802037845706,11.0
92324,206446.87,0.56,2832,1395,436,120,9,142,1,69738,3,0,0,65483,9,4976829,4715,971.9131886477462,13.665066777963272,14.58263772954925,0.0008347245409015025,0.0018781302170283807,1055.5310710498409,0.002712854757929883,10412.538461538461
92325,192831.44,2.98,8,4,77,2039,63,0,0,40015,2,0,0,0,0,2152250,2104,1069.2309447740759,0.0,18.26335006846189,0.0009128251939753537,0.0,1022.9325095057035,0.0009128251939753537,20007.5
92335,185366.19,0.26,4836,1684,3,0,0,96558,9,783230,10,9963,2,288041,34,5439875,6442,784.3863253104399,44.15774950176299,136.40211559098574,0.0032193775869998466,0.005212325617047371,844.4388388699161,0.008431703204047217,21414.4
92336,274465.16,0.36,9329,3609,211,42,167,69058,8,297190,7,13699,2,110598,13,15353869,13566,1039.8303638269201,8.279532864201228,28.44340470130259,0.0012726456056295853,0.0009731995807755652,1131.7904319622585,0.0022458451864051506,16351.5
92337,220920.17,0.47,2737,1160,301,54,17,8779,1,5475,1,0,0,3565,1,4656129,4177,1010.6912625907706,0.8350901850550481,3.3389552588428204,0.00046849379245724994,0.00023424689622862497,1114.7064879099833,0.0007027406886858749,5939.666666666667
92339,205904.72,3.05,0,2,2,293,22,49799,6,24393,6,30896,4,50333,7,327395,297,1096.7742946708463,157.78369905956112,329.4294670846395,0.050156739811912224,0.0219435736677116,1102.3400673400674,0.07210031347962383,6757.434782608696
92341,178477.27,2.96,3,0,24,377,18,0,0,186778,1,0,0,0,0,470040,403,1165.637440758294,0.0,442.6018957345972,0.002369668246445498,0.0,1166.3523573200991,0.002369668246445498,186778.0
92342,249968.92,0.38,739,427,9,0,1,0,0,0,0,0,0,44677,2,1419695,1180,1098.9021276595745,38.02297872340426,0.0,0.0,0.001702127659574468,1203.1313559322034,0.001702127659574468,22338.5
92344,287856.55,0.87,878,1910,217,121,6,15771,2,20121,1,87,1,39947,4,4061716,3082,1203.5365464411107,12.750398978614747,11.483881263964252,0.0012767315671879987,0.0012767315671879987,1317.8831927319923,0.0025534631343759975,9490.75
92345,212210.75,1.0,536,9045,513,30,1,6967,1,991433,13,0,0,8857,1,10021109,10075,907.7524693796918,0.8748518372184907,98.61714737258,0.001382852627419992,9.877518767285657e-05,994.651017369727,0.0014816278150928486,67150.46666666666
92346,255862.87,0.72,2808,2766,622,147,28,102559,9,117835,4,15798,6,65193,8,8090367,6282,1173.4181447182546,10.232773504944278,37.07298697221786,0.0029822633809449065,0.0012556898446083817,1287.8648519579751,0.004237953225553289,11162.407407407407
92352,348479.49,3.07,56,77,222,2744,806,0,0,735,1,0,0,0,0,6120594,3638,1635.44006147541,0.0,0.1882684426229508,0.00025614754098360657,0.0,1682.4062671797692,0.00025614754098360657,735.0
92354,283767.25,0.52,916,534,103,25,3,3717,1,7186,1,0,0,0,0,2073217,1667,1164.6921618204804,0.0,6.8919089759797725,0.0012642225031605564,0.0,1243.6814637072584,0.0012642225031605564,5451.5
92359,233355.96,1.01,274,493,97,84,5,7948,2,0,0,0,0,0,0,1092164,971,1045.5063025210084,0.0,8.34873949579832,0.0021008403361344537,0.0,1124.7826982492277,0.0021008403361344537,3974.0
92371,238602.39,1.16,177,1311,168,85,43,10079,1,5347,1,0,0,18384,1,2661342,1832,1326.6724621424564,10.310712282669657,8.651710600112171,0.0011217049915872126,0.0005608524957936063,1452.6975982532751,0.0016825574873808188,11270.0
92372,236986.29,1.38,62,425,282,30,8,0,0,28323,1,0,0,0,0,1189661,876,1231.1658415841584,0.0,35.05321782178218,0.0012376237623762376,0.0,1358.060502283105,0.0012376237623762376,28323.0
92373,356477.43,1.06,1155,1757,517,392,23,34782,2,10393,2,8009,2,0,0,6055424,3796,1450.299687825182,0.0,13.835587929240374,0.0015608740894901144,0.0,1595.2118018967335,0.0015608740894901144,8864.0
92374,256625.14,0.4,2796,1388,122,35,4,31622,2,0,0,21131,2,44771,7,4673412,4362,988.7733026467204,10.304027617951668,12.14108170310702,0.0009205983889528193,0.001611047180667434,1071.3920220082532,0.002531645569620253,8865.818181818182
92376,196313.72,0.25,5233,1691,22,1,0,55646,7,391677,8,19264,5,87583,14,6470995,6865,877.0191449546567,12.607312508996689,67.16381171728804,0.002878940549877645,0.0020152583849143515,942.6067006554989,0.004894198934791996,16299.117647058823
