ZIP Code,Cov C Amount Weighted Avg,Avg Fire Risk Score,Number of Negligible Fire Risk Exposure,Number of Low Fire Risk Exposure,Number of Moderate Fire Risk Exposure,Number of High Fire Risk Exposure,Number of Very High Fire Risk Exposure,Non-CAT Cov A Smoke - Incurred Losses,Non-CAT Cov A Smoke - Number of Claims,Non-CAT Cov C Fire - Incurred Losses,Non-CAT Cov C Fire - Number of Claims,Non-CAT Cov C Smoke - Incurred Losses,Non-CAT Cov C Smoke - Number of Claims,CAT Cov A Smoke - Incurred Losses,Total CAT Claims,Earned Premium 2021,Earned Exposure 2021,Avg Premium,Avg CAT Loss,Avg Non-CAT Loss,Avg CAT Claims,Avg Non-CAT Claims,Avg Premium 2021,Claim Frequency,Average Claim Severity
90043,287184.99,0.34,2556,1344,0,0,0,0,0,262237,3,0,0,18130,2,4595647,3960,1075.3546153846153,4.648717948717949,67.2402564102564,0.0007692307692307692,0.0005128205128205128,1160.5169191919192,0.001282051282051282,56073.4
90044,195254.08,0.34,2086,1096,0,0,0,0,0,233651,5,0,0,60780,4,2963710,3246,849.6637335009428,19.10119421747329,73.42897548711503,0.0015713387806411063,0.001257071024512885,913.0345040049291,0.0028284098051539913,32714.555555555555
90045,365704.67,0.43,2404,1795,9,1,0,0,0,48709,2,0,0,0,0,5310175,4230,1140.088144452364,0.0,11.572582561178427,0.0004751722499406035,0.0,1255.3605200945626,0.0004751722499406035,24354.5
90046,589022.61,1.8,477,823,425,905,154,0,0,123568,3,0,0,16507,1,9545195,2804,3157.4750448833033,5.927109515260323,44.36912028725314,0.0010771992818671453,0.0003590664272890485,3404.1351640513553,0.001436265709156194,35018.75
90047,213979.46,0.32,3031,1410,0,0,0,0,0,197656,6,0,0,8696,1,4157876,4503,853.6557081738347,1.958117541094348,44.50709299707273,0.0013510470614726414,0.00022517451024544022,923.3568731956474,0.0015762215717180816,29478.85714285714
90048,546054.0,0.45,822,549,45,1,0,0,0,23151,1,0,0,0,0,3194014,1386,2089.482369534556,0.0,16.326516220028207,0.0007052186177715092,0.0,2304.4834054834055,0.0007052186177715092,23151.0
90049,1099519.01,1.56,540,1641,739,732,161,0,0,110159,2,0,0,0,0,22257877,3915,5151.505114083399,0.0,28.890375032782586,0.0005245213742460005,0.0,5685.281481481482,0.0005245213742460005,55079.5
90056,468492.74,0.36,684,385,3,0,0,0,0,1260,1,0,0,0,0,1958855,1053,1698.8014911463188,0.0,1.174277726001864,0.0009319664492078285,0.0,1860.261158594492,0.0009319664492078285,1260.0
90059,178100.61,0.33,1324,641,0,0,0,0,0,113601,1,0,0,15739,3,1640917,2002,754.5862595419848,8.009669211195929,57.81221374045801,0.0005089058524173028,0.0015267175572519084,819.6388611388611,0.002035623409669211,32335.0
90061,189820.8,0.31,835,379,0,0,0,0,0,0,0,0,0,14931,3,1033189,1230,767.0214168039539,12.299011532125206,0.0,0.0,0.002471169686985173,839.9910569105691,0.002471169686985173,4977.0
