ZIP Code,Cov C Amount Weighted Avg,Avg Fire Risk Score,Number of Negligible Fire Risk Exposure,Number of Low Fire Risk Exposure,Number of Moderate Fire Risk Exposure,Number of High Fire Risk Exposure,Number of Very High Fire Risk Exposure,Earned Premium 2020,Earned Exposure 2020,Non-CAT Cov A Smoke - Incurred Losses,Non-CAT Cov A Smoke - Number of Claims,Non-CAT Cov C Fire - Incurred Losses,Non-CAT Cov C Fire - Number of Claims,Non-CAT Cov C Smoke - Incurred Losses,Non-CAT Cov C Smoke - Number of Claims,CAT Cov A Smoke - Incurred Losses,CAT Cov A Smoke - Number of Claims,Earned Premium 2021,Earned Exposure 2021,Avg Premium 2021
91790.0,239726.0,0.34,3053.0,1516.0,14.0,0.0,0.0,3843852.0,4583.0,87512.0,7,205439.0,3,3071.0,4,134462.0,19.0,4125937.0,4502.0,916.4675699689027
91791.0,340693.74,0.96,1249.0,1469.0,496.0,283.0,10.0,4173244.0,3507.0,31529.0,1,0.0,0,4291.0,1,238765.0,17.0,4524172.0,3452.0,1310.5944380069525
91792.0,244684.11,0.42,1523.0,617.0,73.0,62.0,0.0,2108696.0,2275.0,0.0,0,486.0,1,0.0,0,83421.0,8.0,2259354.0,2228.0,1014.072710951526
91793.0,255865.0,0.0,1.0,0.0,0.0,0.0,0.0,1956.0,1.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1516.0,1.0,1516.0
91801.0,281144.94,0.37,1617.0,954.0,2.0,0.0,0.0,2081655.0,2573.0,30808.0,1,48412.0,1,0.0,0,75637.0,6.0,2294861.0,2597.0,883.6584520600693
91803.0,256919.06,0.38,1458.0,892.0,0.0,0.0,0.0,1814130.0,2351.0,0.0,0,12696.0,1,0.0,0,26314.0,6.0,1974588.0,2355.0,838.4662420382166
91901.0,389669.67,2.35,53.0,649.0,519.0,1257.4299999999985,177.0,4436524.0,2761.0,0.0,0,105040.0,1,0.0,0,0.0,0.0,4885669.0,2686.0,1818.9385703648547
91902.0,415114.81,1.08,731.0,801.0,510.0,199.0,2.0,3403904.0,2243.0,0.0,0,53589.0,1,117.0,1,0.0,0.0,3773719.0,2256.0,1672.7477836879432
91905.0,212002.07,2.14,1.0,36.0,75.0,57.0,2.0,249853.0,171.0,0.0,0,0.0,0,0.0,0,0.0,0.0,267887.0,173.0,1548.4797687861271
91906.0,222733.06,2.13,4.0,125.0,229.0,150.0,27.0,629255.0,535.0,0.0,0,40897.0,1,0.0,0,0.0,0.0,697647.0,531.0,1313.8361581920904
91910.0,296737.45,0.64,2645.0,1952.0,506.0,121.0,0.0,5709409.0,5224.0,0.0,0,81959.0,2,0.0,0,0.0,0.0,6192237.0,5171.0,1197.4931347901759
91911.0,245136.23,0.36,3569.0,1661.0,137.0,7.0,0.0,4975141.0,5374.0,0.0,0,106173.0,2,0.0,0,0.0,0.0,5304273.0,5261.0,1008.2252423493633
91912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,138.0,1.0,138.0
91913.0,338575.96,0.39,2816.0,1149.0,153.0,57.0,1.0,4776994.0,4177.0,0.0,0,52724.0,4,0.0,0,0.0,0.0,5379313.0,4266.0,1260.9735114861696
91914.0,502558.69,0.57,1178.0,725.0,204.0,25.0,3.0,3526965.0,2135.0,0.0,0,96378.0,1,0.0,0,0.0,0.0,3848725.0,2073.0,1856.59671972986
91915.0,337975.49,0.32,1742.0,612.0,62.0,15.0,0.0,3061595.0,2431.0,0.0,0,0.0,0,0.0,0,0.0,0.0,3368192.0,2388.0,1410.4656616415411
91916.0,288898.86,2.74,2.0,26.0,40.0,241.0,15.0,503048.0,324.0,0.0,0,0.0,0,0.0,0,0.0,0.0,546344.0,324.0,1686.2469135802469
91917.0,263994.72,2.45,0.0,11.0,11.0,37.0,0.0,93541.0,59.0,0.0,0,190594.0,1,0.0,0,0.0,0.0,96623.0,57.0,1695.140350877193
91931.0,225652.25,2.36,1.0,4.0,7.0,16.0,0.0,39412.0,28.0,0.0,0,0.0,0,0.0,0,0.0,0.0,41852.0,28.0,1494.7142857142858
91932.0,235587.34,0.41,700.0,458.0,2.0,4.0,0.0,1032216.0,1164.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1119109.0,1167.0,958.9622964867181
91934.0,178242.28,1.13,8.0,57.0,7.0,6.0,0.0,74945.0,78.0,0.0,0,0.0,0,0.0,0,0.0,0.0,81128.0,84.0,965.8095238095239
91935.0,416767.37,2.32,64.0,234.0,532.0,686.0,93.0,2819581.0,1609.0,0.0,0,714264.0,9,0.0,0,14066.0,1.0,3045511.0,1553.0,1961.0502253702512
91941.0,371793.85,0.87,1641.0,1543.0,886.0,107.0,3.0,5510363.0,4179.0,0.0,0,40591.0,3,0.0,0,0.0,0.0,6036233.0,4157.0,1452.0647101274958
91942.0,255231.77,0.41,1706.0,1078.0,35.0,2.0,0.0,2520216.0,2821.0,0.0,0,39143.0,1,0.0,0,0.0,0.0,2751650.0,2818.0,976.4549325762953
91945.0,236715.13,0.28,1874.0,663.0,23.0,0.0,0.0,2211070.0,2561.0,0.0,0,13047.0,1,0.0,0,0.0,0.0,2369198.0,2519.0,940.5311631599841
91948.0,154056.78,3.078299999999999,0.0,0.0,1.0,54.0,7.0,61744.0,62.0,0.0,0,0.0,0,0.0,0,0.0,0.0,61664.0,62.0,994.5806451612904
91950.0,210938.64,0.28,2194.0,815.0,14.0,0.0,0.0,2507517.0,3023.0,0.0,0,0.0,0,0.0,0,0.0,0.0,2733955.0,3009.0,908.5925556663343
91962.0,283944.26,2.57,2.0,53.0,79.0,279.0,10.0,633086.0,423.0,0.0,0,0.0,0,0.0,0,0.0,0.0,694205.0,417.0,1664.7601918465227
91963.0,214285.77,2.1,0.0,13.0,23.0,17.0,1.0,74569.0,55.0,0.0,0,0.0,0,0.0,0,0.0,0.0,80348.0,56.0,1434.7857142857142
91977.0,257346.02,0.54,3332.0,1663.0,358.0,195.0,3.0,5612353.0,5552.0,0.0,0,1067.0,1,0.0,0,0.0,0.0,6141992.0,5567.0,1103.2857912699837
91978.0,303679.41,1.31,285.0,234.0,173.0,165.0,18.0,1210178.0,874.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1384670.0,933.0,1484.1050375133977
91980.0,323992.44,2.75,0.0,0.0,2.0,5.0,0.0,7937.0,7.0,0.0,0,0.0,0,0.0,0,0.0,0.0,7932.0,6.0,1322.0
92003.0,547860.28,1.42,132.0,232.0,253.0,71.0,9.0,1385848.0,698.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1628277.0,757.0,2150.9603698811097
92004.0,270943.71,0.48,372.0,276.0,22.0,2.0,0.0,736929.0,672.0,0.0,0,0.0,0,0.0,0,0.0,0.0,830521.0,693.0,1198.4430014430015
92007.0,419979.45,0.65,665.0,522.0,118.0,37.0,0.0,1826980.0,1343.0,0.0,0,0.0,0,0.0,0,0.0,0.0,2029871.0,1360.0,1492.5522058823528
92008.0,388357.69,0.64,1342.0,851.0,226.0,90.0,8.0,3360661.0,2518.0,12645.0,1,5789.0,1,0.0,0,0.0,0.0,3749519.0,2551.0,1469.8232065856528
92009.0,502388.22,1.04,1738.0,2035.0,1223.0,349.0,18.0,9429988.0,5362.0,0.0,0,69013.0,2,0.0,0,0.0,0.0,10634531.0,5354.0,1986.2777362719462
